12:04:16;00:00:00;Inicio Grabación Ple_Municipal_FTP;AUDIO 1;AUDIO 2;AUDIO 3;AUDIO 4;AUDIO 5;AUDIO 6;AUDIO 7;AUDIO 8;AUDIO 9;AUDIO 10;AUDIO 11;AUDIO 12;AUDIO 13;AUDIO 14;AUDIO 15;AUDIO 16;AUDIO 17;AUDIO 18;AUDIO 19;AUDIO 20;AUDIO 21;AUDIO 22;AUDIO 23;AUDIO 24;AUDIO 25;AUDIO 26;AUDIO 27;AUDIO 28;AUDIO 29;AUDIO 30
12:04:22;00:00:06;1;HABLA;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:04:32;00:00:16;2;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:04:43;00:00:27;3;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;HABLA;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:04:53;00:00:38;4;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:04:59;00:00:44;5;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;HABLA;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:05:13;00:00:58;6;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:05:17;00:01:02;7;SILENCIO;SILENCIO;HABLA;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:05:25;00:01:10;8;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:05:27;00:01:12;9;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;HABLA;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
12:05:39;00:01:24;10;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO;SILENCIO
